match,id,P11806,name,autoq,wikidata_company_name,desc,total_score,name_match_subscore,common_media_subscore,tmdb_media_count,wikidata_media_count,common_media_count
PROBABLY,7825,7825,Les Films en Hiver,Q101246795,Les Films en Hiver,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,8,1,1
PROBABLY,90717,90717,Bonjour Pictures,Q56441365,Bonjour Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,9371,9371,Victoria Film,Q115245013,Victoria Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,21,1,1
PROBABLY,160492,160492,SVT Umeå,Q10659693,SVT Umeå,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,2,1
PROBABLY,9381,9381,United States Navy,Q11220,United States Navy,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,29,1,1
PROBABLY,87340,87340,Mamahohotala,Q20081982,Mamahohotala,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,393,393,MACT Productions,Q108256048,MACT Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,53,2,2
PROBABLY,24212,24212,Media Cooperation One,Q105756535,Media Cooperation One,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,4,1,1
PROBABLY,7792,7792,Noodles Production,Q15224941,Noodles Production,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,37,1,1
PROBABLY,396,396,SLM Production Group,Q72088427,SLM Production Group,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,15,1,1
PROBABLY,118509,118509,KFS Production,Q75614541,KFS Production,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,4,1,1
PROBABLY,119648,119648,Freedom from Fear,Q64605652,Freedom From Fear,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,1,1
PROBABLY,7787,7787,Snowfort Pictures,Q7548638,Snowfort Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,17,5,5
PROBABLY,9388,9388,Animafilm,Q4764729,Animafilm,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,87329,87329,Kurhaus Production,Q106779236,Kurhaus production,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,11,1,1
PROBABLY,9962,9962,BD Cine,Q4835390,BD Cine,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,22,2,2
PROBABLY,28788,28788,Genre Films,Q22807052,Genre Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,37,8,8
PROBABLY,7777,7777,Slot Machine,Q78989274,Slot Machine,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,24,1,1
PROBABLY,113162,113162,Mutante Filmes,Q98270375,Mutante Filmes,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,7759,7759,GoHands,Q4597604,GoHands,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,15,2,2
PROBABLY,20542,20542,Sun Entertainment Culture,Q10941826,Sun Entertainment Culture,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,22,1,1
PROBABLY,87196,87196,Alice Films,Q18578058,Alice Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,6,1,1
PROBABLY,90752,90752,Spede-Tuotanto,Q11894293,Spede-Tuotanto,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,1,1
PROBABLY,129261,129261,Institute of Antoniano,Q598610,Institute of Antoniano,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,28762,28762,Mokép,Q17126013,MOKÉP,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,12,1,1
PROBABLY,20556,20556,Studio Colorido,Q59186288,Studio Colorido,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,18,4,4
PROBABLY,7724,7724,Red Bull Media House,Q30854298,Red Bull Media House,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,121,1,1
